instances,Frac_Neg_Body,Frac_Pos_Body,Frac_Unary_Rules,Frac_Binary_Rules,Frac_Ternary_Rules,Frac_Integrity_Rules,Tight,Problem_Variables,Free_Problem_Variables,Assigned_Problem_Variables,Constraints,Constraints/Vars,Created_Bodies,Program_Atoms,SCCS,Nodes_in_Positive_BADG,Rules,Normal_Rules,Cardinality_Rules,Choice_Rules,Weight_Rules,Frac_Normal_Rules,Frac_Cardinality_Rules,Frac_Choice_Rules,Frac_Weight_Rules,Equivalences,Atom-Atom_Equivalences,Body-Body_Equivalences,Other_Equivalences,Frac_Atom-Atom_Equivalences,Frac_Body-Body_Equivalences,Frac_Other_Equivalences,Binary_Constraints,Ternary_Constraints,Other_Constraints,Frac_Binary_Constraints,Frac_Ternary_Constraints,Frac_Other_Constraints
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/10leaves/hard/27-treeWeight-666-10leaves.asp.ground,0.0001,0.9708,0.0001,0.0011,0.9674,0.0026,1.0,776610.0,774588.0,2022.0,3102625.0,3.9951,770560.0,6831.0,0.0,0.0,771037.0,770977.0,40.0,20.0,0.0,0.9999,0.0001,0.0,0.0,1436.0,146.0,20.0,1270.0,0.1017,0.0139,0.8844,2326116.0,746075.0,30434.0,0.7497,0.2405,0.0098
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/10leaves/hard/29-treeWeight-808-10leaves.asp.ground,0.0001,0.9718,0.0001,0.0009,0.9694,0.0019,1.0,1082899.0,1080877.0,2022.0,4330770.0,3.9992,1075391.0,8477.0,0.0,0.0,1075940.0,1075880.0,40.0,20.0,0.0,0.9999,0.0,0.0,0.0,1797.0,161.0,20.0,1616.0,0.0896,0.0111,0.8993,3247972.0,1043113.0,39685.0,0.75,0.2409,0.0092
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/10leaves/hard/30-treeWeight-724-10leaves.asp.ground,0.0001,0.9738,0.0001,0.001,0.9715,0.0016,1.0,1291298.0,1289276.0,2022.0,5165174.0,4.0,1283106.0,9309.0,0.0,0.0,1283797.0,1283737.0,40.0,20.0,0.0,1.0,0.0,0.0,0.0,2103.0,151.0,20.0,1932.0,0.0718,0.0095,0.9187,3873977.0,1247480.0,43717.0,0.75,0.2415,0.0085
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/10leaves/unsat/01-treeWeight-314-10leaves.asp.ground,0.0002,0.9488,0.0002,0.0018,0.9427,0.0052,1.0,390963.0,388941.0,2022.0,1562308.0,3.9961,386506.0,5147.0,0.0,0.0,386903.0,386843.0,40.0,20.0,0.0,0.9998,0.0001,0.0001,0.0,1258.0,142.0,20.0,1096.0,0.1129,0.0159,0.8712,1171446.0,364785.0,26077.0,0.7498,0.2335,0.0167
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/10leaves/unsat/02-treeWeight-752-10leaves.asp.ground,0.0002,0.9631,0.0001,0.0012,0.959,0.0034,1.0,595862.0,593840.0,2022.0,2380162.0,3.9945,590199.0,6459.0,0.0,0.0,590611.0,590551.0,40.0,20.0,0.0,0.9999,0.0001,0.0,0.0,1479.0,133.0,20.0,1326.0,0.0899,0.0135,0.8966,1784401.0,566567.0,29194.0,0.7497,0.238,0.0123
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/10leaves/unsat/05-treeWeight-771-10leaves.asp.ground,0.0001,0.9768,0.0001,0.0011,0.9742,0.0017,1.0,1176084.0,1174062.0,2022.0,4700487.0,3.9967,1168702.0,8429.0,0.0,0.0,1169372.0,1169312.0,40.0,20.0,0.0,0.9999,0.0,0.0,0.0,1962.0,152.0,20.0,1790.0,0.0775,0.0102,0.9123,3524504.0,1139467.0,36516.0,0.7498,0.2424,0.0078
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/10leaves/unsat/06-treeWeight-647-10leaves.asp.ground,0.0001,0.9646,0.0001,0.0011,0.9615,0.0024,1.0,851090.0,849068.0,2022.0,3405052.0,4.0008,844162.0,7816.0,0.0,0.0,844677.0,844617.0,40.0,20.0,0.0,0.9999,0.0,0.0,0.0,1648.0,148.0,20.0,1480.0,0.0898,0.0121,0.8981,2554063.0,812432.0,38557.0,0.7501,0.2386,0.0113
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/10leaves/unsat/08-treeWeight-485-10leaves.asp.ground,0.0001,0.9678,0.0001,0.0013,0.9642,0.0027,1.0,763181.0,761159.0,2022.0,3050564.0,3.9972,757158.0,6887.0,0.0,0.0,757718.0,757658.0,40.0,20.0,0.0,0.9999,0.0001,0.0,0.0,1600.0,148.0,20.0,1432.0,0.0925,0.0125,0.895,2287484.0,730697.0,32383.0,0.7499,0.2395,0.0106
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/10leaves/unsat/09-treeWeight-593-10leaves.asp.ground,0.0001,0.9665,0.0001,0.0011,0.9634,0.0024,1.0,856596.0,854574.0,2022.0,3426218.0,3.9998,849857.0,7633.0,0.0,0.0,850384.0,850324.0,40.0,20.0,0.0,0.9999,0.0,0.0,0.0,1664.0,144.0,20.0,1500.0,0.0865,0.012,0.9014,2569723.0,819386.0,37109.0,0.75,0.2392,0.0108
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/10leaves/unsat/11-treeWeight-648-10leaves.asp.ground,0.0001,0.9667,0.0001,0.0012,0.9635,0.0024,1.0,839205.0,837183.0,2022.0,3356083.0,3.9991,832559.0,7626.0,0.0,0.0,833085.0,833025.0,40.0,20.0,0.0,0.9999,0.0,0.0,0.0,1823.0,157.0,20.0,1646.0,0.0861,0.011,0.9029,2516979.0,802852.0,36252.0,0.75,0.2392,0.0108
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/10leaves/unsat/12-treeWeight-623-10leaves.asp.ground,0.0001,0.9711,0.0001,0.0011,0.9681,0.0023,1.0,880326.0,878304.0,2022.0,3518541.0,3.9969,873822.0,7413.0,0.0,0.0,874369.0,874309.0,40.0,20.0,0.0,0.9999,0.0,0.0,0.0,1695.0,143.0,20.0,1532.0,0.0844,0.0118,0.9038,2638316.0,846600.0,33625.0,0.7498,0.2406,0.0096
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/10leaves/unsat/14-treeWeight-834-10leaves.asp.ground,0.0001,0.9748,0.0001,0.0011,0.9718,0.0022,1.0,910967.0,908945.0,2022.0,3638761.0,3.9944,904504.0,7401.0,0.0,0.0,905068.0,905008.0,40.0,20.0,0.0,0.9999,0.0,0.0,0.0,1758.0,138.0,20.0,1600.0,0.0785,0.0114,0.9101,2727895.0,879677.0,31189.0,0.7497,0.2418,0.0086
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/10leaves/unsat/15-treeWeight-484-10leaves.asp.ground,0.0001,0.9679,0.0001,0.0015,0.9638,0.003,1.0,668545.0,666523.0,2022.0,2670401.0,3.9943,662999.0,6409.0,0.0,0.0,663547.0,663487.0,40.0,20.0,0.0,0.9999,0.0001,0.0,0.0,1602.0,144.0,20.0,1438.0,0.0899,0.0125,0.8976,2001957.0,639685.0,28759.0,0.7497,0.2395,0.0108
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/10leaves/unsat/16-treeWeight-521-10leaves.asp.ground,0.0001,0.9621,0.0001,0.0012,0.9586,0.0027,1.0,741662.0,739640.0,2022.0,2967262.0,4.0008,735343.0,7173.0,0.0,0.0,735834.0,735774.0,40.0,20.0,0.0,0.9999,0.0001,0.0,0.0,1578.0,150.0,20.0,1408.0,0.0951,0.0127,0.8923,2225701.0,705454.0,36107.0,0.7501,0.2377,0.0122
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/10leaves/unsat/20-treeWeight-688-10leaves.asp.ground,0.0001,0.9686,0.0001,0.0011,0.9657,0.0021,1.0,953479.0,951457.0,2022.0,3813495.0,3.9996,946266.0,8112.0,0.0,0.0,946841.0,946781.0,40.0,20.0,0.0,0.9999,0.0,0.0,0.0,1678.0,140.0,20.0,1518.0,0.0834,0.0119,0.9046,2860117.0,914512.0,38866.0,0.75,0.2398,0.0102
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/10leaves/unsat/22-treeWeight-670-10leaves.asp.ground,0.0001,0.962,0.0001,0.001,0.9584,0.0031,1.0,666474.0,664452.0,2022.0,2664490.0,3.9979,660319.0,6922.0,0.0,0.0,660712.0,660652.0,40.0,20.0,0.0,0.9999,0.0001,0.0,0.0,1409.0,145.0,20.0,1244.0,0.1029,0.0142,0.8829,1998117.0,633397.0,32976.0,0.7499,0.2377,0.0124
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/10leaves/unsat/23-treeWeight-541-10leaves.asp.ground,0.0001,0.9724,0.0001,0.0012,0.9694,0.0022,1.0,944866.0,942844.0,2022.0,3777020.0,3.9974,938307.0,7490.0,0.0,0.0,938923.0,938863.0,40.0,20.0,0.0,0.9999,0.0,0.0,0.0,1740.0,142.0,20.0,1578.0,0.0816,0.0115,0.9069,2832255.0,910327.0,34438.0,0.7499,0.241,0.0091
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/10leaves/unsat/29-treeWeight-757-10leaves.asp.ground,0.0001,0.9678,0.0001,0.001,0.965,0.0022,1.0,946305.0,944283.0,2022.0,3785317.0,4.0001,939057.0,8164.0,0.0,0.0,939555.0,939495.0,40.0,20.0,0.0,0.9999,0.0,0.0,0.0,1691.0,161.0,20.0,1510.0,0.0952,0.0118,0.893,2839113.0,906837.0,39367.0,0.75,0.2396,0.0104
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/10leaves/easy/02-treeWeight-1279-10leaves.asp.ground,0.0001,0.9867,0.0001,0.0011,0.9846,0.0012,1.0,1643134.0,1641112.0,2022.0,6560732.0,3.9928,1635159.0,9299.0,0.0,0.0,1636098.0,1636038.0,40.0,20.0,0.0,1.0,0.0,0.0,0.0,2535.0,133.0,20.0,2382.0,0.0525,0.0079,0.9396,4917699.0,1611008.0,32025.0,0.7496,0.2456,0.0049
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/10leaves/easy/04-treeWeight-730-10leaves.asp.ground,0.0001,0.9734,0.0001,0.0011,0.9704,0.0023,1.0,874469.0,872447.0,2022.0,3493579.0,3.9951,868197.0,7238.0,0.0,0.0,868742.0,868682.0,40.0,20.0,0.0,0.9999,0.0,0.0,0.0,1801.0,151.0,20.0,1630.0,0.0838,0.0111,0.9051,2619211.0,843170.0,31198.0,0.7497,0.2413,0.0089
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/10leaves/easy/05-treeWeight-1052-10leaves.asp.ground,0.0,0.9857,0.0,0.001,0.9839,0.0011,1.0,1910272.0,1908250.0,2022.0,7632318.0,3.9954,1901531.0,10070.0,0.0,0.0,1902482.0,1902422.0,40.0,20.0,0.0,1.0,0.0,0.0,0.0,2526.0,152.0,20.0,2354.0,0.0602,0.0079,0.9319,5722147.0,1872018.0,38153.0,0.7497,0.2453,0.005
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/10leaves/easy/07-treeWeight-1898-10leaves.asp.ground,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/10leaves/easy/09-treeWeight-1164-10leaves.asp.ground,0.0,0.9881,0.0,0.0008,0.9866,0.0008,1.0,2527736.0,2525714.0,2022.0,10101176.0,3.9961,2517881.0,11334.0,0.0,0.0,2518979.0,2518919.0,40.0,20.0,0.0,1.0,0.0,0.0,0.0,2834.0,144.0,20.0,2670.0,0.0508,0.0071,0.9421,7573541.0,2485413.0,42222.0,0.7498,0.2461,0.0042
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/10leaves/easy/10-treeWeight-1173-10leaves.asp.ground,0.0,0.9866,0.0,0.0008,0.985,0.0009,1.0,2182262.0,2180240.0,2022.0,8720297.0,3.996,2172901.0,10709.0,0.0,0.0,2173854.0,2173794.0,40.0,20.0,0.0,1.0,0.0,0.0,0.0,2566.0,150.0,20.0,2396.0,0.0585,0.0078,0.9337,6538136.0,2141544.0,40617.0,0.7498,0.2456,0.0047
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/10leaves/easy/12-treeWeight-1250-10leaves.asp.ground,0.0,0.9892,0.0,0.001,0.9875,0.0009,1.0,2339781.0,2337759.0,2022.0,9345961.0,3.9944,2330438.0,10882.0,0.0,0.0,2331612.0,2331552.0,40.0,20.0,0.0,1.0,0.0,0.0,0.0,2955.0,143.0,20.0,2792.0,0.0484,0.0068,0.9448,7006281.0,2302595.0,37085.0,0.7497,0.2464,0.004
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/10leaves/easy/16-treeWeight-1796-10leaves.asp.ground,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/10leaves/easy/19-treeWeight-1192-10leaves.asp.ground,0.0,0.9887,0.0,0.0009,0.9872,0.0008,1.0,2439634.0,2437612.0,2022.0,9747113.0,3.9953,2430075.0,11011.0,0.0,0.0,2431196.0,2431136.0,40.0,20.0,0.0,1.0,0.0,0.0,0.0,2796.0,128.0,20.0,2648.0,0.0458,0.0072,0.9471,7307580.0,2400115.0,39418.0,0.7497,0.2462,0.004
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/10leaves/easy/20-treeWeight-1103-10leaves.asp.ground,0.0,0.9861,0.0,0.0009,0.9845,0.0009,1.0,2186921.0,2184899.0,2022.0,8739917.0,3.9964,2177508.0,10737.0,0.0,0.0,2178498.0,2178438.0,40.0,20.0,0.0,1.0,0.0,0.0,0.0,2528.0,140.0,20.0,2368.0,0.0554,0.0079,0.9367,6553097.0,2144853.0,41967.0,0.7498,0.2454,0.0048
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/10leaves/easy/21-treeWeight-1178-10leaves.asp.ground,0.0,0.9884,0.0,0.001,0.9867,0.0009,1.0,2191570.0,2189548.0,2022.0,8754299.0,3.9945,2182513.0,10502.0,0.0,0.0,2183617.0,2183557.0,40.0,20.0,0.0,1.0,0.0,0.0,0.0,2767.0,143.0,20.0,2604.0,0.0517,0.0072,0.9411,6562830.0,2154707.0,36762.0,0.7497,0.2461,0.0042
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/10leaves/easy/22-treeWeight-1194-10leaves.asp.ground,0.0,0.9866,0.0,0.0009,0.9848,0.0011,1.0,1881729.0,1879707.0,2022.0,7516580.0,3.9945,1873120.0,9905.0,0.0,0.0,1874037.0,1873977.0,40.0,20.0,0.0,1.0,0.0,0.0,0.0,2467.0,145.0,20.0,2302.0,0.0588,0.0081,0.9331,5634952.0,1845674.0,35954.0,0.7497,0.2455,0.0048
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/10leaves/easy/23-treeWeight-2469-10leaves.asp.ground,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/10leaves/easy/25-treeWeight-1344-10leaves.asp.ground,0.0,0.9894,0.0,0.001,0.9878,0.0008,1.0,2492837.0,2490815.0,2022.0,9958205.0,3.9947,2483197.0,11247.0,0.0,0.0,2484430.0,2484370.0,40.0,20.0,0.0,1.0,0.0,0.0,0.0,3078.0,156.0,20.0,2902.0,0.0507,0.0065,0.9428,7465469.0,2454172.0,38564.0,0.7497,0.2464,0.0039
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/10leaves/easy/27-treeWeight-1857-10leaves.asp.ground,0.0,0.9918,0.0,0.0012,0.99,0.0007,1.0,2753840.0,2751818.0,2022.0,10995933.0,3.9929,2743778.0,12037.0,0.0,0.0,2745446.0,2745386.0,40.0,20.0,0.0,1.0,0.0,0.0,0.0,3824.0,146.0,20.0,3658.0,0.0382,0.0052,0.9566,8242194.0,2718108.0,35631.0,0.7496,0.2472,0.0032
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/10leaves/easy/29-treeWeight-1724-10leaves.asp.ground,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/10leaves/easy/30-treeWeight-1493-10leaves.asp.ground,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/10leaves/opt/01-treeWeight-315-10leaves.asp.ground,0.0002,0.949,0.0002,0.0018,0.9429,0.0052,1.0,393175.0,391153.0,2022.0,1571163.0,3.9961,388706.0,5160.0,0.0,0.0,389104.0,389044.0,40.0,20.0,0.0,0.9998,0.0001,0.0001,0.0,1260.0,142.0,20.0,1098.0,0.1127,0.0159,0.8714,1178089.0,366938.0,26136.0,0.7498,0.2335,0.0166
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/10leaves/opt/03-treeWeight-646-10leaves.asp.ground,0.0001,0.9704,0.0001,0.001,0.9678,0.0019,1.0,1070661.0,1068639.0,2022.0,4283043.0,4.0004,1063187.0,8458.0,0.0,0.0,1063781.0,1063721.0,40.0,20.0,0.0,0.9999,0.0,0.0,0.0,1837.0,151.0,20.0,1666.0,0.0822,0.0109,0.9069,3212483.0,1029644.0,40916.0,0.75,0.2404,0.0096
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/10leaves/opt/06-treeWeight-648-10leaves.asp.ground,0.0001,0.9647,0.0001,0.0011,0.9616,0.0024,1.0,853787.0,851765.0,2022.0,3415832.0,4.0008,846851.0,7825.0,0.0,0.0,847367.0,847307.0,40.0,20.0,0.0,0.9999,0.0,0.0,0.0,1650.0,148.0,20.0,1482.0,0.0897,0.0121,0.8982,2562146.0,815101.0,38585.0,0.7501,0.2386,0.0113
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/10leaves/opt/07-treeWeight-814-10leaves.asp.ground,0.0001,0.9754,0.0001,0.001,0.973,0.0017,1.0,1166994.0,1164972.0,2022.0,4665343.0,3.9977,1159512.0,8496.0,0.0,0.0,1160124.0,1160064.0,40.0,20.0,0.0,0.9999,0.0,0.0,0.0,1903.0,145.0,20.0,1738.0,0.0762,0.0105,0.9133,3498450.0,1128944.0,37949.0,0.7499,0.242,0.0081
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/10leaves/opt/08-treeWeight-486-10leaves.asp.ground,0.0001,0.9679,0.0001,0.0013,0.9643,0.0027,1.0,765739.0,763717.0,2022.0,3060786.0,3.9972,759708.0,6896.0,0.0,0.0,760269.0,760209.0,40.0,20.0,0.0,0.9999,0.0001,0.0,0.0,1602.0,148.0,20.0,1434.0,0.0924,0.0125,0.8951,2295148.0,733229.0,32409.0,0.7499,0.2396,0.0106
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/10leaves/opt/10-treeWeight-687-10leaves.asp.ground,0.0001,0.9656,0.0001,0.001,0.9626,0.0024,1.0,841550.0,839528.0,2022.0,3365941.0,3.9997,834649.0,7747.0,0.0,0.0,835116.0,835056.0,40.0,20.0,0.0,0.9999,0.0,0.0,0.0,1562.0,150.0,20.0,1392.0,0.096,0.0128,0.8912,2524492.0,804096.0,37353.0,0.75,0.2389,0.0111
instances/asp/data/weighted-sequence/weighted-sequence-last/weighted-sequence/instances/10leaves/opt/12-treeWeight-624-10leaves.asp.ground,0.0001,0.9712,0.0001,0.0011,0.9682,0.0023,1.0,882791.0,880769.0,2022.0,3528380.0,3.9968,876281.0,7420.0,0.0,0.0,876829.0,876769.0,40.0,20.0,0.0,0.9999,0.0,0.0,0.0,1697.0,143.0,20.0,1534.0,0.0843,0.0118,0.9039,2645690.0,849058.0,33632.0,0.7498,0.2406,0.0095
